SC,count_total,count_acceptable,count_correct,count_degradee,periode
f5,4,3,1,27
f5,4,4,0,27
f1,1,1,0,28
f1,1,1,0,28
f1,1,1,0,28
f3,2,2,0,28
f3,2,2,0,28
f3,2,2,0,28
f3,2,2,0,28
f3,2,2,0,28
f3,2,2,0,28
h2,3,2,1,28
h2,3,3,0,28
h2,3,3,0,28
h3,4,2,2,28
h3,4,3,1,28
h3,4,4,0,28
f3,2,2,0,28
f3,2,2,0,28
f3,2,2,0,28
f4,3,3,0,28
f4,3,3,0,28
f4,3,3,0,28
f4,4,4,0,28
f4,4,4,0,28
f4,4,4,0,28
f2,4,3,1,28
f2,4,4,0,28
f2,4,4,0,28
h1,4,1,3,28
h1,4,1,3,28
h1,4,4,0,28
h5,0,0,0,29
h5,0,0,0,29
h5,0,0,0,29
h3,1,1,0,29
h3,1,1,0,29
h3,1,1,0,29
h3,2,2,0,29
h3,2,2,0,29
h3,2,2,0,29
f3,1,1,0,29
f3,1,1,0,29
f3,1,1,0,29
h4,2,1,1,29
h4,2,1,1,29
h4,2,2,0,29
h5,1,0,1,29
h5,1,1,0,29
h5,1,1,0,29
h2,1,1,0,29
h2,1,1,0,29
h2,1,1,0,29
f1,0,0,0,29
f1,0,0,0,29
f1,0,0,0,29
h1,1,0,1,29
h1,1,0,1,29
h1,1,1,0,29
f2,1,1,0,30
f2,1,1,0,30
f2,1,1,0,30
f4,1,1,0,30
f4,1,1,0,30
f4,1,1,0,30
f5,0,0,0,30
f5,0,0,0,30
f5,0,0,0,30
f3,1,1,0,30
f3,1,1,0,30
f3,1,1,0,30
h3,1,0,1,30
h3,1,0,1,30
h3,1,1,0,30
h5,1,1,0,30
h5,1,1,0,30
h5,1,1,0,30
h1,4,0,4,30
h1,4,1,3,30
h1,4,4,0,30
f5,3,1,2,30
f5,3,2,1,30
f5,3,3,0,30
f5,2,1,1,31
f5,2,2,0,31
f5,2,2,0,31
f1,2,0,2,31
f1,2,2,0,31
f1,2,2,0,31
f3,3,2,1,31
f3,3,3,0,31
f3,3,3,0,31
h3,4,3,1,31
h3,4,3,1,31
h3,4,4,0,31
h3,4,3,1,31
h3,4,3,1,31
h3,4,4,0,31
h3,4,3,1,31
h3,4,3,1,31
h3,4,4,0,31
f2,5,3,2,31
f2,5,5,0,31
f2,5,5,0,31
h3,4,3,1,31
h3,4,3,1,31
h3,4,4,0,31
h3,4,3,1,31
h3,4,3,1,31
h3,4,4,0,31
f1,5,2,3,31
f1,5,3,2,31
f1,5,5,0,31
h3,2,1,1,32
h3,2,1,1,32
h3,2,2,0,32
f1,3,1,2,32
f1,3,2,1,32
f1,3,3,0,32
h1,4,0,4,32
h1,4,0,4,32
h1,4,4,0,32
f4,4,4,0,32
f4,4,4,0,32
f4,4,4,0,32
h2,6,2,4,32
h2,6,4,2,32
h2,6,6,0,32
h1,6,1,5,32
h1,6,2,4,32
h1,6,6,0,32
f4,5,4,1,32
f4,5,5,0,32
f4,5,5,0,32
f4,1,1,0,33
f4,1,1,0,33
f4,1,1,0,33
f4,1,1,0,33
f4,1,1,0,33
f4,1,1,0,33
h2,0,0,0,33
h2,0,0,0,33
h2,0,0,0,33
f5,3,2,1,33
f5,3,3,0,33
f5,3,3,0,33
f4,4,3,1,33
f4,4,4,0,33
f4,4,4,0,33
h3,5,3,2,33
h3,5,4,1,33
h3,5,5,0,33
f3,5,3,2,33
f3,5,5,0,33
f3,5,5,0,33
f4,6,3,3,33
f4,6,5,1,33
f4,6,6,0,33
f3,0,0,0,34
f3,0,0,0,34
f3,0,0,0,34
h2,0,0,0,34
h2,0,0,0,34
h2,0,0,0,34
f2,0,0,0,34
f2,0,0,0,34
f2,0,0,0,34
f2,0,0,0,34
f2,0,0,0,34
f2,0,0,0,34
h3,0,0,0,34
h3,0,0,0,34
h3,0,0,0,34
h1,0,0,0,34
h1,0,0,0,34
h1,0,0,0,34
h3,0,0,0,34
h3,0,0,0,34
h3,0,0,0,34
f1,0,0,0,34
f1,0,0,0,34
f1,0,0,0,34
f1,0,0,0,34
f1,0,0,0,34
f1,0,0,0,34
f3,1,1,0,35
f3,1,1,0,35
f3,1,1,0,35
f3,1,1,0,35
f3,1,1,0,35
f3,1,1,0,35
h5,1,1,0,35
h5,1,1,0,35
h5,1,1,0,35
h1,2,0,2,35
h1,2,0,2,35
h1,2,2,0,35
f3,1,1,0,35
f3,1,1,0,35
f3,1,1,0,35
h1,3,0,3,35
h1,3,0,3,35
h1,3,3,0,35
f2,3,2,1,35
f2,3,3,0,35
f2,3,3,0,35
h5,3,3,0,35
h5,3,3,0,35
h5,3,3,0,35
h4,5,2,3,35
h4,5,4,1,35
h4,5,5,0,35
f4,2,2,0,36
f4,2,2,0,36
f4,2,2,0,36
h2,3,1,2,36
h2,3,3,0,36
h2,3,3,0,36
f5,2,1,1,36
f5,2,1,1,36
f5,2,2,0,36
f3,2,2,0,36
f3,2,2,0,36
f3,2,2,0,36
f2,3,3,0,36
f2,3,3,0,36
f2,3,3,0,36
h4,2,2,0,36
h4,2,2,0,36
h4,2,2,0,36
f2,3,2,1,36
f2,3,3,0,36
f2,3,3,0,36
h5,4,2,2,36
h5,4,4,0,36
h5,4,4,0,36
h1,4,0,4,36
h1,4,0,4,36
h1,4,4,0,36
f1,3,1,2,36
f1,3,2,1,36
f1,3,3,0,36
h3,3,2,1,37
h3,3,2,1,37
h3,3,3,0,37
f1,3,1,2,37
f1,3,2,1,37
f1,3,3,0,37
h3,4,3,1,37
h3,4,3,1,37
h3,4,4,0,37
h2,3,1,2,37
h2,3,2,1,37
h2,3,3,0,37
h4,3,0,3,37
h4,3,2,1,37
h4,3,3,0,37
h1,5,0,5,37
h1,5,1,4,37
h1,5,5,0,37
h5,4,2,2,37
h5,4,4,0,37
h5,4,4,0,37
f5,4,1,3,37
f5,4,2,2,37
f5,4,4,0,37
h2,5,2,3,37
h2,5,3,2,37
h2,5,5,0,37
h5,0,0,0,38
h5,0,0,0,38
h5,0,0,0,38
