SC,count_total,count_acceptable,count_correct,count_degradee,periode
f4,3,2,2,0,28
f1,2,2,2,0,28
f3,3,3,3,0,28
f2,2,2,0,2,28
f4,2,1,1,0,28
h5,1,1,0,1,28
h2,2,2,1,1,28
h5,0,0,0,0,29
h5,3,3,3,0,29
h3,4,4,4,0,29
f1,4,4,4,0,29
f2,3,3,3,0,29
h1,4,3,1,2,29
f4,2,2,1,1,29
f2,2,2,2,0,29
f3,2,2,1,1,29
f2,1,1,0,1,29
h3,1,0,0,0,30
h3,2,1,1,0,30
f4,1,1,0,1,30
h1,0,0,0,0,30
h5,1,1,1,0,30
f4,1,0,0,0,30
h2,1,0,0,0,30
h1,3,2,2,0,30
f5,2,1,0,1,30
h5,4,4,4,0,30
f4,2,2,2,0,31
h2,3,2,2,0,31
h5,3,3,3,0,31
h5,4,4,4,0,31
f1,4,3,2,1,31
f1,4,3,2,1,31
h1,5,3,3,0,31
h3,1,1,1,0,32
h2,3,1,1,0,32
f1,5,5,5,0,32
h3,6,5,1,4,32
h5,6,6,6,0,32
h4,0,0,0,0,33
f5,3,3,3,0,33
h1,4,2,2,0,33
h3,5,4,1,3,33
f1,4,4,3,1,34
h2,5,4,4,0,34
h4,5,4,4,0,34
h3,4,3,3,0,34
h5,6,6,6,0,34
f4,5,5,2,3,34
h4,5,4,4,0,34
h3,4,4,3,1,34
h3,1,1,1,0,35
h5,2,2,1,1,35
f5,2,1,0,1,35
h5,2,2,2,0,35
h1,2,1,1,0,35
h1,2,1,0,1,35
h5,3,3,0,3,35
h5,2,2,2,0,35
h5,2,2,2,0,35
h1,6,3,3,0,35
f2,2,2,2,0,36
h5,2,2,1,1,36
f3,2,2,0,2,36
f5,1,1,1,0,36
h4,1,0,0,0,36
h1,2,0,0,0,36
h4,3,2,1,1,36
h1,4,1,1,0,36
f1,4,4,1,3,36
h1,2,2,2,0,37
h5,2,2,0,2,37
h5,1,1,0,1,37
f4,0,0,0,0,37
h1,2,1,1,0,37
f3,2,2,2,0,37
h3,3,2,2,0,37
h5,0,0,0,0,38
f2,0,0,0,0,38
h5,1,1,1,0,38
h4,0,0,0,0,38
f4,1,1,0,1,38
h2,6,4,4,0,38
h1,5,2,2,0,38
f2,0,0,0,0,39
h1,0,0,0,0,39
h5,0,0,0,0,39
f1,0,0,0,0,39
h5,0,0,0,0,39
h1,1,0,0,0,39
f2,3,3,2,1,39
h1,3,2,1,1,39
h5,3,3,3,0,39
h1,0,0,0,0,40
h3,0,0,0,0,40
h3,1,1,1,0,40
f4,2,2,1,1,40
h4,2,2,1,1,40
h5,2,2,1,1,40
f4,1,1,0,1,40
f4,1,1,1,0,40
f1,2,2,0,2,40
h3,0,0,0,0,41
h1,2,2,2,0,41
h2,2,2,2,0,41
h1,4,3,3,0,41
h3,4,3,3,0,41
f5,4,3,0,3,41
f2,4,4,4,0,41
h2,5,5,5,0,41
f4,5,5,5,0,41
f2,0,0,0,0,42
h4,0,0,0,0,42
h2,2,2,2,0,42
h5,3,3,2,1,42
h2,2,2,2,0,42
h3,6,5,4,1,42
f1,6,6,6,0,42
h5,0,0,0,0,43
h3,0,0,0,0,43
h1,1,0,0,0,43
h3,2,2,1,1,43
f1,3,3,3,0,43
h1,3,1,1,0,43
f4,2,2,1,1,43
f4,4,4,3,1,43
f4,5,5,5,0,43
f3,0,0,0,0,44
f2,3,3,3,0,44
h2,4,3,2,1,44
h1,4,2,1,1,44
h5,4,4,4,0,44
h2,4,3,1,2,44
h3,4,3,1,2,44
f2,3,3,3,0,44
h5,4,4,0,4,44
h1,1,1,1,0,45
h2,1,1,1,0,45
h4,1,1,0,1,45
f1,0,0,0,0,45
h3,1,0,0,0,45
f3,3,3,3,0,45
h5,3,3,3,0,45
h1,3,2,2,0,45
h3,4,3,0,3,45
f3,3,3,3,0,45
h4,0,0,0,0,46
h2,1,1,1,0,46
f1,1,1,1,0,46
f4,1,1,1,0,46
f4,2,2,1,1,46
