Label,NodeID,Value,Timestamp,packet_size
1,s1_h1,0,0,128
1,s2_h1,3,0,128
1,s3_h1,1,0,128
1,s4_h1,0,0,128
1,s1_f1,5,0,128
1,s2_f1,5,0,128
1,s3_f1,5,0,128
1,s4_f1,6,0,128
1,s1_h2,4,0,128
1,s2_h2,5,0,128
1,s3_h2,3,0,128
1,s1_f2,13,0,128
1,s2_f2,15,0,128
1,s3_f2,12,0,128
1,s4_f2,13,0,128
1,s1_h3,12,0,128
1,s2_h3,12,0,128
1,s3_h3,13,0,128
1,s4_h3,10,0,128
1,s1_f3,21,0,128
1,s2_f3,21,0,128
1,s3_f3,23,0,128
1,s4_f3,21,0,128
1,s1_h4,1,0,128
1,s2_h4,3,0,128
1,s3_h4,2,0,128
1,s4_h4,3,0,128
1,s1_f4,23,0,128
1,s2_f4,22,0,128
0,s3_f4,96,0,128
1,s4_f4,23,0,128
1,s1_h5,7,0,128
1,s2_h5,9,0,128
1,s3_h5,10,0,128
1,s4_h5,8,0,128
1,s1_f5,32,0,128
1,s2_f5,33,0,128
1,s3_f5,34,0,128
1,s4_f5,32,0,128
1,s1_h1,0,1,128
1,s2_h1,3,1,128
1,s3_h1,1,1,128
1,s4_h1,0,1,128
1,s1_f1,5,1,128
1,s2_f1,5,1,128
1,s3_f1,5,1,128
1,s4_f1,6,1,128
1,s1_h2,4,1,128
1,s2_h2,5,1,128
1,s3_h2,3,1,128
1,s1_f2,13,1,128
1,s2_f2,15,1,128
1,s3_f2,12,1,128
1,s4_f2,13,1,128
1,s1_h3,12,1,128
1,s2_h3,12,1,128
1,s3_h3,13,1,128
1,s4_h3,10,1,128
1,s1_f3,21,1,128
1,s2_f3,21,1,128
1,s3_f3,23,1,128
1,s4_f3,21,1,128
1,s1_h4,1,1,128
1,s2_h4,3,1,128
1,s3_h4,2,1,128
1,s4_h4,3,1,128
1,s1_f4,23,1,128
1,s2_f4,22,1,128
0,s3_f4,89,1,128
1,s4_f4,23,1,128
1,s1_h5,7,1,128
1,s2_h5,9,1,128
1,s3_h5,10,1,128
1,s4_h5,8,1,128
