SC,count_total,Trustworthy,Untrustworthy,periode
h3,0,0,0,1
f2,2,1,1,1
f2,1,0,1,1
f3,1,0,1,1
h5,2,2,0,1
f5,1,0,1,1
f1,2,0,2,1
h2,3,1,2,1
f1,3,0,3,1
h5,4,2,2,1
f1,0,0,0,2
f4,0,0,0,2
h5,0,0,0,2
h2,0,0,0,2
h5,0,0,0,2
h2,0,0,0,2
f2,0,0,0,2
f4,0,0,0,2
h1,0,0,0,3
f5,3,3,0,3
h1,4,4,0,3
h3,4,3,1,3
h5,4,2,2,3
h5,4,2,2,3
h1,4,3,1,3
f1,0,0,0,4
h5,1,0,1,4
f2,1,0,1,4
f1,3,2,1,4
h5,2,1,1,4
f1,3,2,1,4
f3,2,2,0,4
f2,4,3,1,4
h2,0,0,0,5
h5,0,0,0,5
h5,0,0,0,5
h3,0,0,0,5
h1,2,0,2,5
h4,4,3,1,5
f2,4,4,0,5
h5,5,4,1,5
h3,5,4,1,5
h5,7,6,1,5
h4,3,3,0,6
f2,2,2,0,6
h4,3,3,0,6
h5,3,2,1,6
h1,4,3,1,6
h2,3,2,1,6
h5,3,3,0,6
f5,1,1,0,7
h1,1,0,1,7
f2,2,2,0,7
f3,2,2,0,7
h4,2,1,1,7
h4,1,0,1,7
f3,1,1,0,7
h5,3,2,1,7
h4,0,0,0,8
h1,1,1,0,8
f3,3,2,1,8
h5,5,4,1,8
h1,5,3,2,8
f4,5,5,0,8
h1,5,3,2,8
f3,3,3,0,8
f3,2,2,0,8
f5,2,2,0,8
h3,1,1,0,9
f2,0,0,0,9
h4,0,0,0,9
h1,0,0,0,9
f4,0,0,0,9
h2,3,2,1,9
f4,2,2,0,9
h5,2,2,0,9
f2,3,3,0,9
h1,0,0,0,10
h2,2,2,0,10
h1,2,1,1,10
f2,2,2,0,10
f2,1,1,0,10
h1,1,0,1,10
h4,1,1,0,10
h5,0,0,0,10
f1,0,0,0,10
f2,0,0,0,11
h3,0,0,0,11
f4,0,0,0,11
h3,2,2,0,11
f1,2,2,0,11
f2,2,2,0,11
h3,1,1,0,11
h3,0,0,0,11
f3,1,1,0,11
h5,1,1,0,11
h1,0,0,0,12
h1,1,0,1,12
h5,3,3,0,12
h5,2,2,0,12
h5,1,1,0,12
f1,0,0,0,12
f4,1,1,0,12
h1,0,0,0,12
h2,0,0,0,12
h3,0,0,0,12
f5,3,2,1,13
f2,4,4,0,13
h5,4,3,1,13
h5,4,3,1,13
f1,2,2,0,13
h3,2,2,0,13
f1,1,1,0,13
h2,1,1,0,14
f2,1,1,0,14
h1,1,1,0,14
h5,2,2,0,14
f1,2,2,0,14
f1,2,2,0,14
f4,2,2,0,14
h4,1,1,0,14
h2,0,0,0,15
h5,2,2,0,15
h5,1,1,0,15
f5,0,0,0,15
h4,3,3,0,15
f5,3,2,1,15
h1,2,1,1,15
h3,3,3,0,15
h5,2,2,0,15
h4,0,0,0,16
f3,1,1,0,16
f4,0,0,0,16
f1,1,1,0,16
f3,2,2,0,16
f5,1,1,0,16
h2,0,0,0,16
f4,1,1,0,16
f2,0,0,0,17
f4,1,1,0,17
f5,2,2,0,17
h3,1,1,0,17
h5,3,2,1,17
h5,2,1,1,17
f2,1,1,0,17
f4,2,1,1,17
h3,2,1,1,17
h2,0,0,0,18
f1,2,1,1,18
h4,2,1,1,18
h2,0,0,0,18
h5,3,3,0,18
h3,3,3,0,18
h5,2,2,0,18
f2,3,3,0,18
h1,5,3,2,18
f4,4,2,2,18
h3,0,0,0,19
h5,0,0,0,19
f4,1,0,1,19
f2,2,2,0,19
f1,3,2,1,19
f1,3,1,2,19
h3,3,3,0,19
h3,1,1,0,20
f3,0,0,0,20
f2,3,3,0,20
f1,3,2,1,20
h2,2,2,0,20
f3,1,1,0,20
f1,0,0,0,20
h3,0,0,0,20
h1,0,0,0,20
h5,0,0,0,21
h1,3,1,2,21
f3,1,1,0,21
f2,4,4,0,21
f3,3,2,1,21
h3,3,3,0,21
f2,1,1,0,22
f4,2,1,1,22
f2,3,2,1,22
h3,3,3,0,22
h3,3,3,0,22
f4,2,2,0,22
f2,2,1,1,22
h1,4,2,2,22
h1,3,1,2,22
f4,0,0,0,23
h5,0,0,0,23
h4,0,0,0,23
h3,2,2,0,23
f3,3,2,1,23
h2,4,3,1,23
f5,4,3,1,23
f2,4,4,0,23
f3,3,2,1,24
f3,2,1,1,24
h1,3,1,2,24
f4,2,1,1,24
h1,2,0,2,24
f2,2,2,0,24
h2,2,2,0,24
h3,1,1,0,24
h4,1,1,0,24
h1,1,0,1,25
h1,1,0,1,25
h3,2,2,0,25
f4,1,0,1,25
f4,3,2,1,25
h5,4,4,0,25
h5,5,5,0,25
h2,1,0,1,26
h4,2,1,1,26
f1,1,1,0,26
h1,0,0,0,26
h5,2,2,0,26
h1,2,1,1,26
h5,2,2,0,26
h3,1,1,0,26
h5,0,0,0,27
h1,5,2,3,27
f2,4,4,0,27
h2,0,0,0,28
h5,0,0,0,28
f1,2,1,1,28
f5,4,4,0,28
h2,3,2,1,28
h3,2,2,0,28
f3,2,2,0,28
h3,0,0,0,29
f2,0,0,0,29
h4,1,1,0,29
h1,2,1,1,29
h3,3,3,0,29
h3,2,2,0,29
f3,0,0,0,29
h5,1,1,0,29
h1,0,0,0,30
f2,2,2,0,30
f4,2,1,1,30
h3,2,2,0,30
f2,2,2,0,30
h5,3,3,0,30
h1,3,2,1,30
h4,3,2,1,30
f3,0,0,0,31
f4,0,0,0,31
h4,0,0,0,31
f2,0,0,0,31
h1,0,0,0,31
f3,0,0,0,31
h1,2,0,2,31
h1,2,0,2,31
h5,2,2,0,31
h2,1,1,0,32
h3,0,0,0,32
h2,2,1,1,32
h5,3,3,0,32
f2,1,1,0,32
h3,1,1,0,32
h3,0,0,0,32
f3,3,2,1,32
h3,0,0,0,33
f3,0,0,0,33
h3,2,2,0,33
h5,3,3,0,33
f2,3,3,0,33
h3,3,3,0,33
f5,2,2,0,33
f1,4,3,1,33
h3,0,0,0,34
h1,1,0,1,34
f1,2,1,1,34
f1,2,1,1,34
f4,5,3,2,34
h1,5,2,3,34
f1,5,3,2,34
h2,5,3,2,34
h3,3,3,0,34
h5,3,3,0,34
h3,0,0,0,36
f3,3,2,1,36
f4,3,1,2,36
f4,2,0,2,36
f1,3,3,0,36
h1,3,1,2,36
h1,2,0,2,36
h5,3,3,0,36
f5,2,2,0,36
f2,0,0,0,37
f3,0,0,0,37
h1,0,0,0,37
f4,1,1,0,37
h4,0,0,0,37
h1,0,0,0,37
h3,1,1,0,37
h5,1,1,0,37
f4,0,0,0,37
h3,0,0,0,37
h5,0,0,0,38
f1,0,0,0,38
f4,0,0,0,38
h5,0,0,0,38
f1,1,1,0,38
f3,2,1,1,38
f4,3,1,2,38
f4,0,0,0,39
h5,0,0,0,39
h5,0,0,0,39
f2,0,0,0,39
h1,0,0,0,39
h5,0,0,0,39
h1,0,0,0,39
h1,0,0,0,39
h3,0,0,0,39
h5,0,0,0,39
h1,0,0,0,40
h3,0,0,0,40
f5,0,0,0,40
f2,0,0,0,40
f2,0,0,0,40
f4,0,0,0,40
h3,0,0,0,40
f4,2,1,1,41
h4,2,2,0,41
h4,3,3,0,41
f2,3,3,0,41
f2,3,3,0,41
f2,3,3,0,41
h1,2,0,2,41
h3,3,3,0,41
h5,2,2,0,41
f1,2,0,2,42
f2,2,2,0,42
f5,2,1,1,42
h2,2,1,1,42
h4,2,2,0,42
h4,1,1,0,42
h3,1,1,0,42
h5,1,1,0,42
f3,0,0,0,43
f3,0,0,0,43
f2,1,1,0,43
f2,1,1,0,43
h5,1,1,0,43
h1,0,0,0,43
h5,1,1,0,43
h5,3,3,0,43
f2,4,3,1,43
f5,3,2,1,43
h5,1,1,0,44
h5,0,0,0,44
f4,1,1,0,44
h5,0,0,0,44
h5,0,0,0,44
f3,1,1,0,44
f4,0,0,0,44
h3,5,4,1,44
h1,0,0,0,45
h1,0,0,0,45
f2,0,0,0,45
h2,0,0,0,45
h5,0,0,0,45
f4,0,0,0,45
h5,0,0,0,45
f2,0,0,0,45
f4,0,0,0,45
f4,1,1,0,46
h1,0,0,0,46
f1,0,0,0,46
h3,1,1,0,46
h3,1,1,0,46
h2,3,2,1,46
f2,2,2,0,46
h5,2,2,0,46
f2,1,1,0,46
f3,0,0,0,47
h1,2,0,2,47
h3,2,1,1,47
h4,2,2,0,47
h3,1,0,1,47
f2,4,4,0,47
f3,3,3,0,47
h4,3,2,1,47
f1,3,2,1,47
h5,2,2,0,47
f2,0,0,0,48
h4,1,1,0,48
h5,3,3,0,48
h5,2,2,0,48
f5,1,0,1,48
h4,1,1,0,48
f3,0,0,0,48
f2,1,0,1,48
h3,3,3,0,48
h4,4,4,0,48
h3,0,0,0,49
f2,2,2,0,49
f5,1,1,0,49
f2,3,3,0,49
f3,2,2,0,49
h5,2,2,0,49
h5,2,2,0,50
h5,1,1,0,50
h5,0,0,0,50
f2,0,0,0,50
h4,1,1,0,50
f1,0,0,0,50
h2,0,0,0,50
f4,4,2,2,50
h2,1,1,0,51
f1,1,1,0,51
f4,2,1,1,51
h3,2,1,1,51
h1,3,1,2,51
h5,3,3,0,51
h1,3,0,3,51
h1,3,0,3,51
h5,5,5,0,51
h5,5,5,0,52
f5,4,2,2,52
h3,5,5,0,52
h1,3,1,2,52
f5,3,2,1,52
f5,1,0,1,53
f4,2,1,1,53
h5,2,2,0,53
h3,4,3,1,53
f3,3,2,1,53
f4,4,3,1,53
h5,3,3,0,54
f4,2,1,1,54
h1,2,0,2,54
h5,3,3,0,54
h5,2,2,0,54
f3,2,1,1,54
h5,3,3,0,54
h3,0,0,0,55
h3,0,0,0,55
h5,1,1,0,55
h1,2,0,2,55
h1,2,0,2,55
h5,2,2,0,55
h4,3,3,0,55
h3,4,3,1,55
h4,3,3,0,55
f2,1,1,0,56
h3,2,2,0,56
f2,1,1,0,56
h3,0,0,0,56
h4,2,2,0,56
h3,3,2,1,56
h5,2,2,0,56
f4,0,0,0,57
h5,0,0,0,57
h2,0,0,0,57
h4,2,1,1,57
h5,1,1,0,57
f2,1,1,0,57
f4,3,2,1,57
f3,3,3,0,57
f4,1,1,0,58
f2,0,0,0,58
h3,0,0,0,58
h3,0,0,0,58
h3,0,0,0,58
h1,0,0,0,58
h2,0,0,0,58
h5,0,0,0,58
f2,2,2,0,58
f3,0,0,0,58
h5,3,3,0,59
h2,3,2,1,59
h1,3,0,3,59
f5,5,3,2,59
f3,3,3,0,59
f4,4,2,2,59
f3,0,0,0,60
h1,0,0,0,60
h3,0,0,0,60
f1,0,0,0,60
f2,5,5,0,60
f3,1,0,1,61
h5,2,2,0,61
f1,0,0,0,61
f2,1,1,0,61
h5,1,1,0,61
h1,2,1,1,61
f2,0,0,0,62
f1,3,2,1,62
h2,2,2,0,62
f1,4,2,2,62
h3,4,4,0,62
h1,3,3,0,62
f2,5,5,0,62
f4,2,1,1,63
h5,1,1,0,63
h2,1,1,0,63
f5,1,0,1,63
h1,3,0,3,63
h5,5,4,1,63
h5,4,3,1,63
f1,3,2,1,63
f4,4,2,2,64
f4,3,1,2,64
h5,4,3,1,64
h3,3,3,0,64
f1,2,1,1,64
f1,1,0,1,64
f4,2,0,2,64
f4,3,1,2,64
h3,0,0,0,65
h1,1,0,1,65
h3,4,4,0,65
h1,4,2,2,65
f5,3,2,1,65
h1,4,1,3,65
h3,4,3,1,65
h5,3,3,0,65
f4,2,0,2,66
f3,2,1,1,66
f4,3,1,2,66
h1,4,1,3,66
h2,4,3,1,66
h4,4,4,0,66
f5,3,2,1,66
f5,2,1,1,66
f2,1,1,0,67
f3,1,1,0,67
f4,2,0,2,67
h3,2,2,0,67
h3,2,2,0,67
f3,4,3,1,67
h1,4,4,0,67
f3,4,3,1,67
h4,4,3,1,67
f4,0,0,0,68
h5,1,1,0,68
f2,0,0,0,68
h3,0,0,0,68
h5,1,1,0,68
f5,0,0,0,68
h5,3,3,0,68
h5,4,4,0,68
f2,0,0,0,69
f2,0,0,0,69
h3,0,0,0,69
h1,0,0,0,69
h3,0,0,0,69
f2,2,2,0,69
f3,1,0,1,69
h2,1,1,0,69
f3,0,0,0,69
f4,1,0,1,70
h1,2,1,1,70
h2,1,0,1,70
h3,1,1,0,70
h2,2,1,1,70
f3,2,2,0,70
h4,2,2,0,70
h5,2,2,0,70
h2,1,1,0,71
h4,1,1,0,71
f2,3,3,0,71
h3,2,1,1,71
h4,1,1,0,71
f3,1,1,0,71
f2,2,2,0,71
h3,2,2,0,71
h3,2,2,0,71
h5,2,2,0,71
h1,2,0,2,72
f3,3,2,1,72
h4,4,4,0,72
f4,4,2,2,72
h5,4,3,1,72
f4,3,1,2,72
h1,1,1,0,72
h2,2,1,1,72
f1,0,0,0,73
h3,0,0,0,73
h3,3,3,0,73
h5,3,3,0,73
h1,3,1,2,73
h1,2,0,2,73
h4,4,4,0,73
h4,4,4,0,73
f4,3,1,2,73
f3,1,0,1,74
f4,1,0,1,74
h4,1,1,0,74
h5,1,1,0,74
h2,1,1,0,74
h1,1,1,0,74
f2,0,0,0,74
f1,0,0,0,74
h5,1,1,0,74
f1,0,0,0,75
h3,1,1,0,75
h3,0,0,0,75
h3,1,1,0,75
h3,0,0,0,75
f1,2,1,1,75
f2,1,1,0,75
f1,1,0,1,75
h1,2,0,2,75
f1,3,2,1,76
h2,2,2,0,76
f4,2,2,0,76
f2,1,1,0,76
h4,0,0,0,76
h3,1,0,1,76
f2,1,1,0,76
h5,3,3,0,76
f2,1,1,0,76
f2,0,0,0,77
h5,1,1,0,77
f5,1,1,0,77
f2,1,1,0,77
h1,3,1,2,77
f1,2,1,1,77
h3,3,2,1,77
f3,4,4,0,77
f2,4,4,0,77
h3,1,1,0,78
h5,2,2,0,78
f4,1,1,0,79
f2,0,0,0,79
f2,0,0,0,79
f4,1,0,1,79
f3,1,1,0,79
h5,2,2,0,79
f4,1,1,0,79
f4,1,1,0,79
f4,0,0,0,80
h5,0,0,0,80
h1,0,0,0,80
h1,0,0,0,80
h3,0,0,0,80
f3,4,3,1,80
f3,4,3,1,80
f4,5,3,2,80
h5,4,3,1,80
h3,0,0,0,81
h5,1,1,0,81
h2,2,2,0,81
h2,2,2,0,81
h3,2,1,1,81
f3,1,1,0,81
h4,0,0,0,81
h4,3,3,0,82
h5,2,2,0,82
f5,2,1,1,82
h3,1,1,0,82
h2,1,1,0,82
h1,1,1,0,82
h2,3,3,0,82
f1,1,1,0,83
f2,0,0,0,83
h3,1,1,0,83
h1,1,0,1,83
h4,1,1,0,83
f5,0,0,0,83
h2,2,1,1,83
h5,1,1,0,83
h1,0,0,0,84
h5,6,5,1,84
f4,0,0,0,85
f2,0,0,0,85
f3,0,0,0,85
h1,3,1,2,85
f3,3,3,0,85
h1,4,2,2,85
f2,3,3,0,85
f3,2,2,0,85
h5,2,2,0,85
h1,3,2,1,85
f1,0,0,0,86
f3,0,0,0,86
h3,1,1,0,86
f3,0,0,0,86
f3,1,1,0,86
f4,2,2,0,86
f2,2,2,0,86
f2,2,2,0,86
f4,2,1,1,86
h4,1,1,0,86
f1,0,0,0,87
f4,2,0,2,87
h5,2,2,0,87
f5,1,1,0,87
h1,2,0,2,87
f2,2,2,0,87
h1,4,1,3,87
f2,2,2,0,87
f3,3,2,1,87
h2,0,0,0,88
f2,0,0,0,88
f2,0,0,0,88
f1,2,1,1,88
f2,2,2,0,88
f4,2,0,2,88
h3,3,2,1,88
f1,3,2,1,88
f5,3,1,2,88
h2,2,2,0,89
h2,1,1,0,89
f4,1,1,0,89
h5,2,2,0,89
f1,3,0,3,89
h4,3,2,1,89
f4,2,0,2,89
h3,3,2,1,89
h1,0,0,0,90
f3,0,0,0,90
h3,0,0,0,90
h4,1,1,0,90
f3,0,0,0,90
f2,1,1,0,90
h1,1,0,1,90
h3,1,1,0,90
h3,0,0,0,90
h2,0,0,0,91
f4,0,0,0,91
h1,0,0,0,91
h1,0,0,0,91
f4,1,0,1,91
f2,1,1,0,91
h3,1,1,0,91
f3,1,0,1,91
f4,1,0,1,92
f3,2,2,0,92
f4,2,2,0,92
h5,2,2,0,92
f2,1,1,0,92
h1,2,0,2,92
h5,2,2,0,92
h2,3,3,0,92
h4,3,3,0,92
f4,2,1,1,92
h3,0,0,0,93
h5,2,2,0,93
h1,2,0,2,93
f1,2,1,1,93
f3,0,0,0,93
f2,2,2,0,93
f3,4,3,1,93
f4,4,1,3,93
h4,5,4,1,93
h5,5,5,0,93
f3,3,2,1,94
f3,2,1,1,94
f4,1,0,1,94
f5,1,0,1,94
h1,1,0,1,94
h5,3,2,1,94
h5,1,1,0,95
h3,1,1,0,95
h3,2,2,0,95
f1,1,0,1,95
f3,0,0,0,95
f4,2,1,1,95
h5,2,1,1,95
h5,2,1,1,95
f3,2,1,1,95
f4,2,0,2,95
h5,0,0,0,96
h3,0,0,0,96
f4,0,0,0,96
f5,0,0,0,96
f1,0,0,0,96
h3,0,0,0,96
h4,0,0,0,96
h2,1,0,1,96
f2,1,1,0,96
h5,0,0,0,97
f1,2,1,1,97
h1,2,1,1,97
f4,1,0,1,97
f4,3,0,3,97
f1,4,2,2,97
h5,0,0,0,98
f2,0,0,0,98
h3,1,1,0,98
f3,0,0,0,98
f3,2,2,0,98
h1,4,0,4,98
f1,4,2,2,98
f4,0,0,0,99
h5,0,0,0,99
f5,0,0,0,99
f4,3,2,1,99
h5,2,2,0,99
h1,1,0,1,99
h5,2,2,0,99
h2,1,1,0,99
f1,2,2,0,99
f2,0,0,0,100
h5,0,0,0,100
f3,2,1,1,100
f1,1,0,1,100
f2,4,4,0,100
f4,4,1,3,100
h5,4,4,0,100
h3,5,3,2,100
h2,0,0,0,101
f2,0,0,0,101
h3,0,0,0,101
f5,1,0,1,101
h5,2,2,0,101
f1,3,1,2,101
f1,3,1,2,101
h3,4,2,2,101
h5,6,5,1,101
h4,2,1,1,102
f3,2,0,2,102
h4,4,3,1,102
h5,4,3,1,102
h5,4,3,1,102
h1,3,1,2,102
f1,2,2,0,103
h1,1,1,0,103
h3,1,1,0,103
h3,0,0,0,103
f5,1,1,0,103
h1,1,0,1,103
h5,2,2,0,103
h3,3,3,0,103
f3,2,2,0,103
f4,2,1,1,103
f2,1,1,0,104
f2,1,1,0,104
f4,2,1,1,104
f3,3,2,1,104
f3,2,0,2,105
h2,2,1,1,105
h4,4,2,2,105
f2,3,2,1,105
h5,3,2,1,105
h2,3,2,1,105
h5,4,3,1,105
f1,5,3,2,105
h3,6,5,1,105
f4,4,3,1,106
f4,4,3,1,106
h3,4,4,0,106
h5,6,6,0,106
h5,6,6,0,106
h2,0,0,0,107
h5,1,1,0,107
f2,0,0,0,107
f1,4,2,2,107
f2,3,3,0,107
h3,4,3,1,107
f2,3,3,0,107
f2,0,0,0,108
f4,2,0,2,108
h2,2,2,0,108
f2,2,2,0,108
h3,2,1,1,108
h1,2,0,2,108
f4,4,2,2,108
f4,0,0,0,109
h1,1,0,1,109
h4,2,2,0,109
h1,2,1,1,109
f2,1,1,0,109
f4,1,1,0,109
f1,0,0,0,109
h4,0,0,0,109
h2,2,2,0,109
f1,2,1,1,109
h3,0,0,0,110
f1,0,0,0,110
h3,0,0,0,110
h3,2,1,1,110
h5,4,4,0,110
f3,6,6,0,110
h4,6,5,1,110
h4,6,5,1,110
h1,0,0,0,111
f4,2,0,2,111
h2,1,1,0,111
f4,2,0,2,111
f1,2,1,1,111
f1,3,2,1,111
f1,5,4,1,111
f2,0,0,0,112
h3,1,1,0,112
h3,1,1,0,112
f2,1,1,0,112
f4,2,1,1,112
h3,2,2,0,112
f4,2,1,1,112
h5,4,4,0,112
f5,4,3,1,112
f2,1,1,0,113
f4,3,3,0,113
f2,2,2,0,113
h5,4,4,0,113
h5,4,4,0,113
h5,4,4,0,113
h2,4,3,1,113
h5,4,4,0,113
h3,3,3,0,113
f2,0,0,0,114
f3,2,2,0,114
f3,3,2,1,114
f5,5,3,2,114
f1,5,3,2,114
f3,5,4,1,114
h1,6,2,4,114
f2,6,6,0,114
f1,0,0,0,115
f2,0,0,0,115
f5,1,0,1,115
h2,2,2,0,115
h3,1,1,0,115
f4,2,1,1,115
h2,2,1,1,115
h5,3,2,1,115
f2,3,3,0,116
f4,1,1,0,116
f3,2,2,0,116
h5,3,3,0,116
h2,4,3,1,116
h5,3,3,0,116
f5,2,1,1,116
f4,3,3,0,116
h5,3,3,0,116
h1,0,0,0,117
f1,0,0,0,117
h4,1,1,0,117
h1,4,1,3,117
h5,4,4,0,117
h5,4,4,0,117
f3,4,4,0,117
f2,0,0,0,118
h1,3,0,3,118
h1,3,0,3,118
h2,4,3,1,118
f3,2,1,1,118
h4,3,2,1,118
h5,2,1,1,118
h5,0,0,0,119
f1,0,0,0,119
h1,1,0,1,119
f3,2,0,2,119
h1,3,1,2,119
f5,4,1,3,119
f4,4,2,2,119
f1,0,0,0,120
h1,1,0,1,120
f1,1,0,1,120
f4,2,2,0,120
f3,2,1,1,120
f1,1,0,1,120
f1,1,0,1,120
f2,2,2,0,120
f2,2,2,0,120
h3,0,0,0,121
f4,1,1,0,121
f5,1,0,1,121
h1,1,0,1,121
f1,1,0,1,121
f4,2,2,0,121
f2,4,4,0,121
f3,3,3,0,121
h3,4,4,0,121
h1,5,2,3,121
f3,1,0,1,122
f4,1,0,1,122
f4,6,4,2,122
f2,4,4,0,123
f4,4,3,1,123
h5,4,4,0,123
h3,4,3,1,123
h2,5,4,1,123
f5,4,3,1,123
h5,6,6,0,123
h5,6,6,0,123
h5,1,1,0,124
h4,5,4,1,124
h5,5,5,0,124
f5,4,2,2,124
f4,4,2,2,124
h5,5,5,0,124
f2,5,5,0,124
h3,5,4,1,124
f3,5,4,1,124
h1,0,0,0,126
h3,0,0,0,126
h5,1,1,0,126
h4,1,1,0,126
f1,3,2,1,126
f4,3,2,1,126
f1,3,2,1,126
f3,4,3,1,126
h4,4,4,0,126
h5,0,0,0,127
h5,0,0,0,127
f3,1,0,1,127
h4,1,1,0,127
h2,4,3,1,127
f3,7,5,2,127
h5,8,7,1,127
h5,1,1,0,128
h1,3,1,2,128
h2,3,2,1,128
f2,3,3,0,128
h5,4,4,0,128
h1,4,2,2,128
f3,4,3,1,128
f2,0,0,0,129
h3,0,0,0,129
h2,2,1,1,129
f4,2,0,2,129
f5,3,2,1,129
h3,3,2,1,129
f2,3,2,1,129
h3,4,4,0,130
f4,3,1,2,130
h1,0,0,0,131
h1,2,2,0,131
f2,1,1,0,131
h5,3,3,0,131
h1,4,3,1,131
h2,4,2,2,131
f3,4,3,1,131
h3,0,0,0,132
h4,0,0,0,132
h3,2,2,0,132
f3,1,1,0,132
h1,4,1,3,132
h5,4,4,0,132
f1,4,2,2,132
f1,5,2,3,132
f1,4,1,3,132
f5,3,1,2,132
h3,1,1,0,133
h5,2,2,0,133
h5,3,2,1,133
h5,3,2,1,133
f4,2,0,2,133
f2,2,1,1,133
f2,1,0,1,133
h1,2,0,2,133
f2,2,1,1,133
h1,0,0,0,134
f4,0,0,0,134
h4,2,2,0,134
h3,5,4,1,134
f2,4,4,0,134
f3,0,0,0,135
f1,1,1,0,135
h3,1,0,1,135
f4,1,1,0,135
h5,0,0,0,135
h3,1,0,1,135
h3,2,1,1,135
h5,3,2,1,135
h5,4,3,1,135
h3,4,3,1,135
f1,1,0,1,136
h2,3,2,1,136
f2,2,2,0,136
f4,2,1,1,136
h1,3,1,2,136
f1,2,1,1,136
f2,2,2,0,136
h2,1,1,0,136
h2,1,1,0,136
f3,0,0,0,137
h5,0,0,0,137
h1,0,0,0,137
f2,0,0,0,137
f3,0,0,0,137
f1,0,0,0,137
h5,2,2,0,137
f2,2,2,0,137
f5,4,2,2,137
h3,4,4,0,138
h2,4,2,2,138
h2,3,1,2,138
f4,3,2,1,138
h1,4,1,3,138
f1,3,1,2,138
h3,3,3,0,138
f4,2,2,0,138
f4,0,0,0,139
h1,1,0,1,139
h1,1,0,1,139
h2,4,4,0,139
f2,3,3,0,139
h4,4,4,0,139
f2,3,3,0,139
h3,3,3,0,139
f4,3,3,0,139
h5,3,3,0,139
h1,2,0,2,140
h5,2,2,0,140
h3,3,2,1,140
h5,2,2,0,141
h1,2,0,2,141
h2,2,2,0,141
f2,2,2,0,141
h2,3,3,0,141
h5,3,3,0,141
h1,0,0,0,142
f5,0,0,0,142
h1,0,0,0,142
h4,2,2,0,142
f1,2,2,0,142
f2,2,2,0,142
f3,3,2,1,142
f2,2,2,0,142
f2,1,1,0,142
h3,1,1,0,142
f4,1,1,0,143
h5,1,1,0,143
f1,0,0,0,143
h1,3,1,2,143
h5,3,3,0,143
f3,2,1,1,143
h1,3,1,2,143
f2,3,3,0,143
h3,0,0,0,144
f3,0,0,0,144
f4,2,2,0,144
f3,4,3,1,144
h1,5,0,5,144
f5,4,3,1,144
f1,0,0,0,145
f4,2,1,1,145
h3,2,2,0,145
h4,2,1,1,145
f5,2,2,0,145
h3,3,2,1,145
f2,2,2,0,145
h1,0,0,0,146
h2,0,0,0,146
f4,0,0,0,146
h2,0,0,0,146
f2,0,0,0,146
f3,0,0,0,146
f4,1,1,0,146
f4,1,1,0,146
f5,1,1,0,146
h1,0,0,0,147
h1,0,0,0,147
h1,3,0,3,147
h5,3,3,0,147
f4,5,3,2,147
h1,4,0,4,147
h1,4,0,4,147
h3,0,0,0,148
h5,2,2,0,148
f2,2,2,0,148
f4,2,2,0,148
f1,1,0,1,148
f4,1,1,0,148
f4,0,0,0,148
f4,1,1,0,148
f3,3,2,1,148
f1,1,1,0,149
f2,2,2,0,149
h1,3,0,3,149
h5,3,3,0,149
f1,3,2,1,149
f4,4,2,2,149
h5,6,6,0,149
h3,4,4,0,149
f4,5,3,2,149
f4,0,0,0,150
f2,2,2,0,150
h4,1,1,0,150
f4,1,1,0,150
h5,1,1,0,150
h1,1,0,1,150
h1,1,0,1,150
h3,1,1,0,150
f2,2,2,0,150
f3,1,0,1,151
f4,1,0,1,151
h5,1,0,1,151
f4,2,1,1,151
f3,2,0,2,151
f3,2,0,2,151
f4,3,0,3,151
h4,5,3,2,151
h2,1,1,0,152
f2,1,1,0,152
h3,0,0,0,152
f3,0,0,0,152
h2,2,2,0,152
f1,4,3,1,152
h2,4,4,0,152
h5,4,4,0,152
h3,3,2,1,152
h2,0,0,0,153
f4,1,1,0,153
f4,2,2,0,153
f2,2,2,0,153
h4,3,3,0,153
h5,3,3,0,153
h1,3,0,3,153
h2,3,3,0,153
f4,1,1,0,154
f2,2,2,0,154
h1,3,0,3,154
f4,3,2,1,154
h3,3,3,0,154
f1,4,3,1,154
f4,4,3,1,154
h5,3,2,1,155
f5,4,3,1,155
h3,0,0,0,156
h5,0,0,0,156
h1,1,0,1,156
h1,1,0,1,156
f2,5,4,1,156
h4,6,5,1,156
h5,7,6,1,156
h1,0,0,0,157
f4,2,1,1,157
h5,1,1,0,157
h1,1,0,1,157
h1,1,0,1,157
h1,2,0,2,157
h2,2,1,1,157
h5,2,2,0,157
h3,0,0,0,158
h5,1,1,0,158
h5,0,0,0,158
f5,0,0,0,158
h1,0,0,0,158
h1,0,0,0,158
f1,2,1,1,158
h1,5,1,4,158
h1,0,0,0,159
h2,4,3,1,159
h5,3,3,0,159
f4,3,3,0,159
h5,4,4,0,159
h5,4,4,0,159
f1,3,1,2,160
f4,2,2,0,160
h3,2,2,0,160
h1,4,0,4,160
f1,4,2,2,160
f4,3,2,1,160
f4,4,2,2,160
f2,0,0,0,161
h3,0,0,0,161
f2,1,1,0,161
f4,2,2,0,161
f2,2,2,0,161
h4,3,3,0,161
h3,0,0,0,162
f2,0,0,0,162
h3,1,1,0,162
h3,1,1,0,162
h3,0,0,0,162
h2,4,2,2,162
h1,4,0,4,162
f2,0,0,0,163
f5,2,0,2,163
h3,3,3,0,163
h5,4,4,0,163
