NodeID,Timestamp,Value
s1_h1,140,1
s2_h1,140,4
s3_h1,140,2
s4_h1,140,1
s1_f1,140,1
s2_f1,140,1
s3_f1,140,1
s4_f1,140,1
s1_h2,140,1
s2_h2,140,1
s3_h2,140,1
s4_h2,140,1
s1_f2,140,1
s2_f2,140,1
s3_f2,140,1
s4_f2,140,1
s1_h3,140,5
s2_h3,140,5
s3_h3,140,6
s4_h3,140,3
s1_f3,140,1
s2_f3,140,1
s3_f3,140,1
s4_f3,140,1
s1_h4,140,1
s2_h4,140,1
s3_h4,140,1
s4_h4,140,1
s1_f4,140,1
s2_f4,140,1
s3_f4,140,1
s4_f4,140,1
s1_h5,140,7
s2_h5,140,9
s3_h5,140,10
s4_h5,140,8
s1_f5,140,8
s2_f5,140,9
s3_f5,140,10
s4_f5,140,8
s1_h1,280,2
s2_h1,280,5
s3_h1,280,3
s4_h1,280,2
s1_f1,280,1
s2_f1,280,1
s3_f1,280,1
s4_f1,280,1
s1_h2,280,1
s2_h2,280,1
s3_h2,280,1
s4_h2,280,1
s1_f2,280,1
s2_f2,280,1
s3_f2,280,1
s4_f2,280,1
s1_h3,280,1
s2_h3,280,1
s3_h3,280,1
s4_h3,280,1
s1_f3,280,1
s2_f3,280,1
s3_f3,280,1
s4_f3,280,1
s1_h4,280,1
s2_h4,280,1
s3_h4,280,1
s4_h4,280,1
s1_f4,280,1
s2_f4,280,1
s3_f4,280,1
s4_f4,280,1
s1_h5,280,1
s2_h5,280,1
s3_h5,280,1
s4_h5,280,1
s1_f5,280,1
s2_f5,280,1
s3_f5,280,1
s4_f5,280,1
s1_h1,420,1
s2_h1,420,2
s3_h1,420,1
s4_h1,420,1
s1_f1,420,1
s2_f1,420,1
s3_f1,420,1
s4_f1,420,1
s1_h2,420,1
s2_h2,420,1
s3_h2,420,1
s4_h2,420,1
s1_f2,420,1
s2_f2,420,1
s3_f2,420,1
s4_f2,420,1
s1_h3,420,1
s2_h3,420,1
s3_h3,420,1
s4_h3,420,1
s1_f3,420,1
s2_f3,420,1
s3_f3,420,1
s4_f3,420,1
s1_h4,420,1
s2_h4,420,1
s3_h4,420,1
s4_h4,420,1
s1_f4,420,1
s2_f4,420,1
s3_f4,420,1
s4_f4,420,1
s1_h5,420,1
s2_h5,420,1
s3_h5,420,1
s4_h5,420,1
